"vx","vy","Points:0","Points:1","Points:2"
-1.4671781921e+02,7.5817199707e+02,-2.7829334375e+05,-9.2757187500e+05,0.0000000000e+00
-1.4662100220e+02,7.6009838867e+02,-2.7828387500e+05,-9.2762100000e+05,0.0000000000e+00
-1.4652508545e+02,7.6202130127e+02,-2.7827440625e+05,-9.2767006250e+05,0.0000000000e+00
-1.4643003845e+02,7.6394067383e+02,-2.7826496875e+05,-9.2771918750e+05,0.0000000000e+00
-1.4633584595e+02,7.6585650635e+02,-2.7825559375e+05,-9.2776831250e+05,0.0000000000e+00
-1.4624253845e+02,7.6776892090e+02,-2.7824621875e+05,-9.2781743750e+05,0.0000000000e+00
-1.4615008545e+02,7.6967785645e+02,-2.7823687500e+05,-9.2786656250e+05,0.0000000000e+00
-1.4605848694e+02,7.7158337402e+02,-2.7822756250e+05,-9.2791568750e+05,0.0000000000e+00
-1.4596775818e+02,7.7348547363e+02,-2.7821828125e+05,-9.2796481250e+05,0.0000000000e+00
-1.4583923340e+02,7.7536151123e+02,-2.7820900000e+05,-9.2801393750e+05,0.0000000000e+00
-1.4560841370e+02,7.7717669678e+02,-2.7819978125e+05,-9.2806306250e+05,0.0000000000e+00
-1.4536985779e+02,7.7898828125e+02,-2.7819059375e+05,-9.2811225000e+05,0.0000000000e+00
-1.4512364197e+02,7.8079614258e+02,-2.7818143750e+05,-9.2816137500e+05,0.0000000000e+00
-1.4486976624e+02,7.8260040283e+02,-2.7817231250e+05,-9.2821056250e+05,0.0000000000e+00
-1.4460830688e+02,7.8440106201e+02,-2.7816325000e+05,-9.2825968750e+05,0.0000000000e+00
-1.4433930969e+02,7.8619799805e+02,-2.7815418750e+05,-9.2830887500e+05,0.0000000000e+00
-1.4406278992e+02,7.8799133301e+02,-2.7814518750e+05,-9.2835806250e+05,0.0000000000e+00
-1.4377880859e+02,7.8978106689e+02,-2.7813621875e+05,-9.2840725000e+05,0.0000000000e+00
-1.4348739624e+02,7.9156719971e+02,-2.7812728125e+05,-9.2845643750e+05,0.0000000000e+00
-1.4323657227e+02,7.9334625244e+02,-2.7811837500e+05,-9.2850562500e+05,0.0000000000e+00
-1.4335433960e+02,7.9509252930e+02,-2.7810950000e+05,-9.2855487500e+05,0.0000000000e+00
-1.4347515869e+02,7.9682983398e+02,-2.7810062500e+05,-9.2860406250e+05,0.0000000000e+00
-1.4359902954e+02,7.9855822754e+02,-2.7809178125e+05,-9.2865325000e+05,0.0000000000e+00
-1.4372595215e+02,8.0027764893e+02,-2.7808293750e+05,-9.2870250000e+05,0.0000000000e+00
-1.4385592651e+02,8.0198822021e+02,-2.7807409375e+05,-9.2875168750e+05,0.0000000000e+00
-1.4398892212e+02,8.0368988037e+02,-2.7806528125e+05,-9.2880093750e+05,0.0000000000e+00
-1.4412495422e+02,8.0538269043e+02,-2.7805646875e+05,-9.2885012500e+05,0.0000000000e+00
-1.4426402283e+02,8.0706671143e+02,-2.7804765625e+05,-9.2889937500e+05,0.0000000000e+00
-1.4440609741e+02,8.0874188232e+02,-2.7803887500e+05,-9.2894856250e+05,0.0000000000e+00
-1.4455119324e+02,8.1040832520e+02,-2.7803009375e+05,-9.2899781250e+05,0.0000000000e+00
-1.4452253723e+02,8.1215435791e+02,-2.7802131250e+05,-9.2904700000e+05,0.0000000000e+00
-1.4448516846e+02,8.1391375732e+02,-2.7801256250e+05,-9.2909625000e+05,0.0000000000e+00
-1.4444732666e+02,8.1568267822e+02,-2.7800384375e+05,-9.2914550000e+05,0.0000000000e+00
-1.4441523743e+02,8.1751104736e+02,-2.7799512500e+05,-9.2919468750e+05,0.0000000000e+00
-1.4439086914e+02,8.1937945557e+02,-2.7798643750e+05,-9.2924393750e+05,0.0000000000e+00
-1.4437030029e+02,8.2124639893e+02,-2.7797778125e+05,-9.2929318750e+05,0.0000000000e+00
-1.4435350037e+02,8.2311187744e+02,-2.7796912500e+05,-9.2934243750e+05,0.0000000000e+00
-1.4434048462e+02,8.2497589111e+02,-2.7796050000e+05,-9.2939168750e+05,0.0000000000e+00
-1.4433122253e+02,8.2683856201e+02,-2.7795187500e+05,-9.2944093750e+05,0.0000000000e+00
-1.4432569885e+02,8.2869976807e+02,-2.7794331250e+05,-9.2949018750e+05,0.0000000000e+00
-1.4430238342e+02,8.3068261719e+02,-2.7793471875e+05,-9.2953943750e+05,0.0000000000e+00
-1.4427337646e+02,8.3269567871e+02,-2.7792618750e+05,-9.2958875000e+05,0.0000000000e+00
-1.4424357605e+02,8.3470837402e+02,-2.7791765625e+05,-9.2963800000e+05,0.0000000000e+00
-1.4421299744e+02,8.3672082520e+02,-2.7790915625e+05,-9.2968725000e+05,0.0000000000e+00
-1.4418162537e+02,8.3873291016e+02,-2.7790068750e+05,-9.2973656250e+05,0.0000000000e+00
-1.4414947510e+02,8.4074475098e+02,-2.7789221875e+05,-9.2978581250e+05,0.0000000000e+00
-1.4411656189e+02,8.4275622559e+02,-2.7788378125e+05,-9.2983512500e+05,0.0000000000e+00
-1.4408285522e+02,8.4476745605e+02,-2.7787537500e+05,-9.2988437500e+05,0.0000000000e+00
-1.4404838562e+02,8.4677832031e+02,-2.7786696875e+05,-9.2993368750e+05,0.0000000000e+00
-1.4401313782e+02,8.4878894043e+02,-2.7785859375e+05,-9.2998300000e+05,0.0000000000e+00
-1.4392483521e+02,8.5034155273e+02,-2.7785025000e+05,-9.3003225000e+05,0.0000000000e+00
-1.4380712891e+02,8.5164807129e+02,-2.7784190625e+05,-9.3008156250e+05,0.0000000000e+00
-1.4368742371e+02,8.5294915771e+02,-2.7783359375e+05,-9.3013087500e+05,0.0000000000e+00
-1.4356573486e+02,8.5424481201e+02,-2.7782528125e+05,-9.3018018750e+05,0.0000000000e+00
-1.4344204712e+02,8.5553503418e+02,-2.7781700000e+05,-9.3022950000e+05,0.0000000000e+00
-1.4331639099e+02,8.5681994629e+02,-2.7780875000e+05,-9.3027881250e+05,0.0000000000e+00
-1.4318875122e+02,8.5809942627e+02,-2.7780050000e+05,-9.3032812500e+05,0.0000000000e+00
-1.4305914307e+02,8.5937353516e+02,-2.7779228125e+05,-9.3037743750e+05,0.0000000000e+00
-1.4292756653e+02,8.6064239502e+02,-2.7778409375e+05,-9.3042675000e+05,0.0000000000e+00
-1.4279405212e+02,8.6190588379e+02,-2.7777590625e+05,-9.3047606250e+05,0.0000000000e+00
-1.4268464661e+02,8.6312585449e+02,-2.7776775000e+05,-9.3052543750e+05,0.0000000000e+00
-1.4259980774e+02,8.6431066895e+02,-2.7775959375e+05,-9.3057475000e+05,0.0000000000e+00
-1.4251562500e+02,8.6549810791e+02,-2.7775146875e+05,-9.3062406250e+05,0.0000000000e+00
-1.4243206787e+02,8.6668811035e+02,-2.7774334375e+05,-9.3067343750e+05,0.0000000000e+00
-1.4234916687e+02,8.6788079834e+02,-2.7773525000e+05,-9.3072275000e+05,0.0000000000e+00
-1.4226690674e+02,8.6907611084e+02,-2.7772715625e+05,-9.3077212500e+05,0.0000000000e+00
-1.4218527222e+02,8.7027398682e+02,-2.7771909375e+05,-9.3082143750e+05,0.0000000000e+00
-1.4210429382e+02,8.7147442627e+02,-2.7771103125e+05,-9.3087081250e+05,0.0000000000e+00
-1.4202394104e+02,8.7267749023e+02,-2.7770300000e+05,-9.3092012500e+05,0.0000000000e+00
-1.4194422913e+02,8.7388311768e+02,-2.7769496875e+05,-9.3096950000e+05,0.0000000000e+00
-1.4191380310e+02,8.7506146240e+02,-2.7768696875e+05,-9.3101887500e+05,0.0000000000e+00
-1.4196385193e+02,8.7618811035e+02,-2.7767896875e+05,-9.3106818750e+05,0.0000000000e+00
-1.4201614380e+02,8.7730883789e+02,-2.7767096875e+05,-9.3111756250e+05,0.0000000000e+00
-1.4207066345e+02,8.7842370605e+02,-2.7766300000e+05,-9.3116693750e+05,0.0000000000e+00
-1.4212739563e+02,8.7953265381e+02,-2.7765500000e+05,-9.3121625000e+05,0.0000000000e+00
-1.4218635559e+02,8.8063574219e+02,-2.7764703125e+05,-9.3126562500e+05,0.0000000000e+00
-1.4224754333e+02,8.8173303223e+02,-2.7763906250e+05,-9.3131500000e+05,0.0000000000e+00
